Time,Distance (cm),Timestamp
0.038892507553100586,36,2024-06-14 16:41:48
1.0312063694000244,39,2024-06-14 16:41:49
2.03857684135437,37,2024-06-14 16:41:50
3.0416948795318604,37,2024-06-14 16:41:51
4.061273813247681,10,2024-06-14 16:41:52
5.0491132736206055,12,2024-06-14 16:41:53
6.052488565444946,29,2024-06-14 16:41:54
7.055507659912109,37,2024-06-14 16:41:55
8.059444427490234,15,2024-06-14 16:41:56
9.062585353851318,6,2024-06-14 16:41:57
10.069903135299683,39,2024-06-14 16:41:58
11.073827743530273,42,2024-06-14 16:41:59
12.104504585266113,62,2024-06-14 16:42:00
13.092500448226929,157,2024-06-14 16:42:01
14.1043062210083,156,2024-06-14 16:42:02
15.112824440002441,36,2024-06-14 16:42:03
16.11199140548706,5,2024-06-14 16:42:04
17.142935752868652,16,2024-06-14 16:42:05
18.122401237487793,20,2024-06-14 16:42:06
